usuario,usuario_seguidores,modelo,color,calificacion,comentario,fuente,likes,verificado,respondido_marca,fecha,intencion_plantilla,sentimiento_calculado,score_sentimiento,n_palabras_positivas,n_palabras_negativas,n_emojis_positivos,n_emojis_negativos,tiene_caps,n_exclamaciones,amplificador,es_influencer,urgencia,acierto
alvaradoroberto,542,Perestroika,blanco,4,"Decentes los Perestroika, no son los mejores pero cumplen 🙂",twitter,8,True,True,2023-06-06 03:58:54,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
homerocanales,3121,084,blanco,5,Por fin unos tenis que duran! Los 084 ya tienen 8 meses y siguen como nuevos 💪,instagram,100,True,False,2025-12-25 16:59:52,positivo,positivo,0.55,0,0,1,0,False,1,1.1,False,False,True
villanuevadulce,58,Ultra,negro,2,Decepción total los Ultra 😞 se ven baratos y se rompen aún más rápido 👎,amazon,10,True,False,2021-08-13 01:24:36,negativo,negativo,-0.312,1,1,0,2,False,0,1.0,False,False,True
cabanmariano,439,084 Clásico,beige,5,Excelentísimos los 084 Clásico ✨ los uso para correr y son perfectos 🏃‍♂️💨,instagram,37,False,True,2023-04-29 03:58:30,positivo,positivo,0.5,1,0,3,0,False,0,1.0,False,False,True
valentinleonardo,19,084 Clásico,verde,4,MARAVILLOSOS los 084 Clásico 😍 como caminar en nubes ☁️☁️ los amo,tiktok,17,False,False,2025-12-24 09:18:12,positivo,positivo,0.76,2,0,3,0,True,0,1.2,False,False,True
cgaray,278,Panam Alfa,rosa,4,Quedé enamoradísima de mis Panam Alfa ✨ buenísima calidad y precio 👌🥰,twitter,76,True,False,2023-09-17 14:55:26,positivo,positivo,0.733,2,0,3,0,False,0,1.0,False,False,True
crespodulce,49,Panam Alfa,blanco,3,Increíbles!! Los Panam Alfa se ven y se sienten premium 🔝🔥 vale cada peso,facebook,46,True,False,2024-03-28 10:26:20,positivo,positivo,0.9,2,0,2,0,False,2,1.2,False,False,True
jacinto35,185,084,verde,5,"Decentes los 084, no son los mejores pero cumplen 🙂",amazon,148,True,False,2022-03-19 20:52:19,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
olivaresevelio,44,Flip,blanco,4,Cómodos los Flip pero el color destiñe en 2 lavadas 😕 mitad y mitad,instagram,57,True,False,2024-05-25 14:57:49,mixto,neutro,-0.139,1,1,0,1,False,0,1.0,False,False,True
pamela40,82,084 Campeón,rojo,5,"Yo súper feliz con mis 084 Campeón 🥹 mejor inversión del mes, los recomiendo muchísimo",tiktok,34,False,False,2025-04-02 16:43:23,positivo,positivo,0.8,4,0,1,0,False,0,1.0,False,False,True
ochoaeloy,768,Caimán,blanco,5,"Decentes los Caimán, no son los mejores pero cumplen 🙂",tiktok,18,True,False,2026-01-15 10:39:16,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
rosario95,12,Vaivén,rosa,1,Terrible experiencia con los Vaivén 💔 mala calidad y peor servicio al cliente 😡,amazon,10,False,False,2026-04-04 02:01:04,negativo,negativo,-0.542,1,3,0,2,False,0,1.0,False,False,True
darioarmenta,649,Barracuda,negro,3,Cómodos los Barracuda pero el color destiñe en 2 lavadas 😕 mitad y mitad,instagram,4,False,False,2023-04-14 08:50:53,mixto,neutro,-0.139,1,1,0,1,False,0,1.0,False,False,True
eloy31,209,084,azul,5,Quedé enamoradísima de mis 084 ✨ buenísima calidad y precio 👌🥰,google_reviews,19,False,False,2024-07-30 07:47:14,positivo,positivo,0.733,2,0,3,0,False,0,1.0,False,False,True
eugenia52,59,084 Clásico,beige,5,"Decentes los 084 Clásico, no son los mejores pero cumplen 🙂",amazon,16,True,False,2024-06-29 10:12:53,positivo,neutro,0.111,1,1,1,0,False,0,1.0,False,False,False
luis-miguel41,1229,084 Campeón,gris,2,Horrible calidad los 084 Campeón 😠 ni para regalar #malacompra #panam,facebook,81,False,False,2022-10-20 00:32:37,negativo,negativo,-0.25,1,1,0,1,False,0,1.0,False,True,True
jeronimorios,38,SuperFaro,rojo,5,Excelentísimos los SuperFaro ✨ los uso para correr y son perfectos 🏃‍♂️💨,instagram,0,False,False,2024-07-28 05:46:12,positivo,positivo,0.5,1,0,3,0,False,0,1.0,False,False,True
silvia83,504,Ultra,rojo,2,"Normales los Ultra, ni bien ni mal 🤷‍♂️",facebook,19,True,False,2024-02-07 19:47:40,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
gironantonio,27,084,beige,1,"Esperaba más de los 084, la suela es muy delgada 😕 regulares",google_reviews,99,False,True,2024-01-11 09:24:20,negativo,negativo,-0.625,0,1,0,1,False,0,1.0,False,True,True
ejasso,79,084 Clásico,blanco,2,Me quedaron grandes los 084 Clásico y la talla era la correcta 😒 mala medición,google_reviews,3,False,False,2023-02-20 19:32:31,negativo,negativo,-0.667,0,1,0,1,False,0,1.0,False,False,True
manuel76,753,084 Clásico,blanco,4,"Los mejores tenis que he tenido!! Los 084 Clásico son cómodos, bonitos y baratos 👌🔥",tiktok,109,True,False,2025-03-31 21:59:43,positivo,positivo,0.9,3,0,2,0,False,2,1.2,False,False,True
raulchavez,2236,084 Campeón,rojo,5,Mis 084 Campeón son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,instagram,62,False,False,2023-06-11 13:24:04,positivo,positivo,0.875,2,0,6,0,True,0,1.2,False,False,True
natalia69,138,Vaivén,azul,1,"Los Vaivén no me convencieron, son muy regulares para el precio 🤷‍♀️",tiktok,36,True,False,2024-09-28 04:58:54,negativo,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,True
mario28,3392,084,negro,5,"Me gustaron los 084, cómodos y bonitos para diario 🙂",facebook,5,True,False,2025-07-17 14:43:46,positivo,positivo,0.708,3,0,1,0,False,0,1.0,False,False,True
arreolafrancisco,178,Urbano,azul,4,"AMO mis Urbano 💖 ya pedí otro par en otro color, hermosos",google_reviews,119,False,True,2022-08-24 04:11:46,positivo,positivo,1.0,2,0,1,0,True,0,1.2,False,False,True
dulceybarra,2,084 Diamante,blanco,3,"Buenos los 084 Diamante, me gustaron 👍 cumplen lo prometido",google_reviews,70,False,True,2021-11-19 16:29:26,positivo,positivo,0.75,3,0,1,0,False,0,1.0,False,False,True
molivarez,29,084,rojo,4,"Buenos los 084, me gustaron 👍 cumplen lo prometido",google_reviews,132,True,False,2025-04-29 11:51:01,positivo,positivo,0.75,3,0,1,0,False,0,1.0,False,False,True
maria-luisa01,54,Urbano,azul,2,"Regulares los Urbano, esperaba un poquito más pero también un poquito menos",facebook,30,False,False,2025-11-29 14:55:52,neutro,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,False
socorro51,180,084 Campeón,beige,3,"Los 084 Campeón cumplen, los uso para diario nomás",tiktok,24,True,True,2023-11-04 04:28:37,neutro,positivo,0.833,1,0,0,0,False,0,1.0,False,False,False
dcotto,1029,084 Clásico,azul,3,"Regulares los 084 Clásico, esperaba un poquito más pero también un poquito menos",instagram,1,True,False,2021-05-16 09:30:34,neutro,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,False
jaqueline28,268,084 Diamante,blanco,5,Excelentísimos los 084 Diamante ✨ los uso para correr y son perfectos 🏃‍♂️💨,twitter,0,True,False,2022-04-01 22:05:14,positivo,positivo,0.5,1,0,3,0,False,0,1.0,False,False,True
silvia89,250,084 Diamante,beige,1,"Los 084 Diamante no me convencieron, son muy regulares para el precio 🤷‍♀️",tiktok,12,False,False,2023-01-14 07:24:29,negativo,negativo,-0.833,0,1,0,0,False,0,1.0,False,False,True
biancacuellar,107,084 Diamante,beige,4,"Muy cómodos los 084 Diamante, me los recomendó mi hermana ✌️ buena compra",facebook,36,False,True,2025-12-07 02:32:11,positivo,positivo,0.694,2,0,1,0,False,0,1.0,False,False,True
zamudioaida,332,084 Diamante,rosa,1,Muy decepcionada con mis 084 Diamante 💔 esperaba muchísimo más por el precio que pagué 🙄,facebook,178,True,False,2025-07-02 08:36:13,negativo,negativo,-0.667,0,1,0,2,False,0,1.0,False,True,True
carrascoariadna,3,084 Clásico,negro,3,Bonitos los 084 Clásico pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,twitter,16,False,True,2023-12-17 17:26:12,mixto,positivo,0.278,2,1,0,0,False,0,1.0,False,False,True
claudioguajardo,140,Urbano,azul,5,"Súper recomendados los Urbano, no me los quería quitar 😂❤️",tiktok,34,True,False,2026-03-04 00:43:15,positivo,positivo,0.729,2,0,2,0,False,0,1.0,False,False,True
brionesindira,101,084 Clásico,blanco,5,Excelentísimos los 084 Clásico ✨ los uso para correr y son perfectos 🏃‍♂️💨,google_reviews,7,True,False,2021-12-07 08:22:49,positivo,positivo,0.5,1,0,3,0,False,0,1.0,False,False,True
gonzaloroldan,271,SuperFaro,negro,3,Bonitos los SuperFaro 👌 buen precio para la calidad,tiktok,13,True,False,2026-01-08 11:50:56,positivo,positivo,0.722,2,0,1,0,False,0,1.0,False,False,True
raulsuarez,722,Barracuda,rosa,3,Horrible calidad los Barracuda 😠 ni para regalar #malacompra #panam,tiktok,22,True,False,2024-12-10 22:58:22,negativo,negativo,-0.25,1,1,0,1,False,0,1.0,False,False,True
margaritafernandez,24,Urbano,beige,1,NO LOS COMPREN!! Mis Urbano se despegaron en una semana 😤 estafa total,amazon,38,False,False,2023-12-30 18:46:22,negativo,negativo,-1.0,0,2,0,1,True,2,1.6,False,False,True
cnino,20,Gran Prix,beige,4,Bonitos los Gran Prix 👌 buen precio para la calidad,twitter,2,True,True,2025-09-30 08:46:24,positivo,positivo,0.722,2,0,1,0,False,0,1.0,False,False,True
pcasarez,47,Vital,negro,2,Me quedaron grandes los Vital y la talla era la correcta 😒 mala medición,instagram,0,True,False,2023-04-04 10:10:09,negativo,negativo,-0.667,0,1,0,1,False,0,1.0,False,False,True
mirelesalfredo,17,084 Clásico,rojo,1,"Mala compra los 084 Clásico, no son lo que esperaba ☹️ poco durables",google_reviews,58,True,True,2026-01-21 06:54:13,negativo,negativo,-0.167,1,1,0,1,False,0,1.0,False,True,True
nayeligaray,382,Perestroika,blanco,5,"Cumple lo prometido, los Perestroika están bien para el uso diario 👍🏼",tiktok,7,True,False,2021-05-28 15:42:34,positivo,positivo,0.611,1,0,2,0,False,0,1.0,False,False,True
bahenamaximiliano,755,084 Campeón,azul,5,"Muy cómodos los 084 Campeón, me los recomendó mi hermana ✌️ buena compra",instagram,84,True,False,2021-12-01 17:15:13,positivo,positivo,0.694,2,0,1,0,False,0,1.0,False,False,True
menendezdavid,12,Vaivén,verde,3,"Esperaba más de los Vaivén, la suela es muy delgada 😕 regulares",tiktok,13,False,False,2025-09-19 17:46:50,negativo,negativo,-0.625,0,1,0,1,False,0,1.0,False,False,True
rodrigoruelas,249,Caimán,rosa,4,Mis Caimán son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,amazon,20,True,False,2023-03-02 22:10:32,positivo,positivo,0.875,2,0,6,0,True,0,1.2,False,False,True
micaelavelazquez,708,Ultra,negro,5,Quedé enamoradísima de mis Ultra ✨ buenísima calidad y precio 👌🥰,google_reviews,113,False,True,2025-05-13 20:25:40,positivo,positivo,0.733,2,0,3,0,False,0,1.0,False,False,True
guadalupepalomo,38,Flip,gris,3,"Normales los Flip, ni bien ni mal 🤷‍♂️",twitter,2,False,False,2022-12-18 21:30:50,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
calderonvanesa,236,Urbano,gris,3,"Compré los Urbano, son tenis. Punto.",google_reviews,0,False,False,2025-01-04 13:01:38,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
dulce67,6195,Urbano,negro,5,"Decentes los Urbano, no son los mejores pero cumplen 🙂",google_reviews,52,True,False,2021-10-21 14:49:03,positivo,neutro,0.111,1,1,1,0,False,0,1.0,True,False,False
ballesterosconchita,382,Ultra,gris,4,Compré los Ultra para mi hijo y le ENCANTARON 🥰 muy cómodos y bonitos,instagram,13,False,True,2024-03-25 11:45:25,positivo,positivo,1.0,3,0,1,0,True,0,1.2,False,False,True
guzmanjuan-carlos,1019,Barracuda,azul,5,"AMO mis Barracuda 💖 ya pedí otro par en otro color, hermosos",tiktok,53,False,False,2022-12-18 06:31:31,positivo,positivo,1.0,2,0,1,0,True,0,1.2,False,False,True
bcintron,338,084,beige,1,Decepción total los 084 😞 se ven baratos y se rompen aún más rápido 👎,instagram,22,True,False,2022-11-27 09:22:52,negativo,negativo,-0.312,1,1,0,2,False,0,1.0,False,False,True
francisca31,127,084 Clásico,negro,4,Mis 084 Clásico son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,tiktok,111,True,False,2025-02-11 01:44:40,positivo,positivo,0.875,2,0,6,0,True,0,1.2,False,False,True
arteagatania,293,Flip,beige,2,Me quedaron grandes los Flip y la talla era la correcta 😒 mala medición,facebook,34,True,True,2025-12-10 20:40:45,negativo,negativo,-0.667,0,1,0,1,False,0,1.0,False,False,True
cabannicolas,518,Panam Alfa,rojo,1,Me quedaron grandes los Panam Alfa y la talla era la correcta 😒 mala medición,twitter,16,True,True,2022-10-05 00:34:35,negativo,negativo,-0.667,0,1,0,1,False,0,1.0,False,False,True
eruelas,26,Urbano,negro,5,Compré los Urbano para mi hijo y le ENCANTARON 🥰 muy cómodos y bonitos,instagram,9,False,False,2023-03-01 09:40:29,positivo,positivo,1.0,3,0,1,0,True,0,1.2,False,False,True
kbahena,94,Perestroika,blanco,3,Me gustaron los Perestroika aunque son un poco apretados al principio 😬 ya cedieron,google_reviews,0,False,False,2024-07-26 17:48:19,mixto,neutro,-0.083,1,1,0,1,False,0,1.0,False,False,True
orellanaraul,618,084 Diamante,rojo,4,Buena calidad los 084 Diamante pero la entrega tardó 3 semanas 😑 ojo con eso,tiktok,170,False,False,2025-03-19 23:24:16,mixto,neutro,0.146,2,1,0,1,False,0,1.0,False,False,True
dulce87,27,RL15,rosa,3,Me gustaron los RL15 aunque son un poco apretados al principio 😬 ya cedieron,amazon,95,False,False,2022-08-30 06:00:34,mixto,neutro,-0.083,1,1,0,1,False,0,1.0,False,False,True
silvanogamboa,7,084 Campeón,azul,4,MARAVILLOSOS los 084 Campeón 😍 como caminar en nubes ☁️☁️ los amo,amazon,40,True,False,2021-11-04 00:21:06,positivo,positivo,0.76,2,0,3,0,True,0,1.2,False,False,True
martinezclaudio,25,Vital,azul,3,Excelente diseño los Vital pero algo caros para la calidad real 💸,facebook,47,True,False,2021-10-09 02:24:17,mixto,positivo,0.278,2,1,0,0,False,0,1.0,False,False,True
hsandoval,201,084 Campeón,azul,3,Me gustaron los 084 Campeón aunque son un poco apretados al principio 😬 ya cedieron,tiktok,36,True,False,2022-09-07 10:33:23,mixto,neutro,-0.083,1,1,0,1,False,0,1.0,False,False,True
saucedaemiliano,1294,Barracuda,gris,3,"Los Barracuda están ok, nada del otro mundo 🤷",google_reviews,6,True,False,2022-12-04 15:38:06,neutro,neutro,0.0,0,0,0,0,False,0,1.0,False,False,True
