sucursal,modelo,talla,fecha,hora,cantidad,precio_unitario,descuento_pct,metodo_pago,tipo_cliente,vendedor
CDMX_Rep_del_Salvador,084 Campeón,16,2026-04-09,06:55:44,1,1244,5,mercado_pago,nuevo,Jorge Luis
EdoMex_Sendero_Ixtapaluca,Ultra,24,2022-06-10,15:37:36,1,1373,0,efectivo,recurrente,Fernando
CDMX_Metrobus_Durango,Perestroika,27,2024-08-23,09:50:25,6,1347,30,tarjeta_credito,recurrente,Úrsula
CDMX_Plaza_Ermita,Vaivén,25,2024-02-01,17:11:50,3,710,0,transferencia,nuevo,Juana
CDMX_Insurgentes,084 Diamante,29,2024-08-14,21:18:44,1,1956,5,efectivo,nuevo,Diana
Nuevo_Leon_Monterrey,Urbano,15,2023-06-18,00:48:46,2,1334,0,efectivo,recurrente,Roberto
CDMX_Tacubaya,Urbano,27,2024-09-24,22:07:26,3,1353,0,tarjeta_credito,nuevo,Ana Luisa
EdoMex_Patio_Valle_De_Chalco,Panam Alfa,26,2023-11-07,17:57:21,3,2163,30,transferencia,nuevo,Esther
CDMX_Rep_del_Salvador,084 Diamante,30,2022-06-26,03:42:41,4,1759,0,tarjeta_debito,vip,Hernán
Quintana_Roo_Playa_del_Carmen,Perestroika,26,2024-11-10,03:19:12,1,1383,10,tarjeta_credito,recurrente,Olivia
CDMX_San_Cosme,Flip,17,2025-09-15,10:14:34,2,775,0,tarjeta_credito,nuevo,Timoteo
CDMX_Satelite,Flip,23,2026-01-03,18:09:38,2,964,0,efectivo,nuevo,Zeferino
CDMX_Pino_Suarez,Urbano,26,2026-01-21,16:49:12,4,882,15,efectivo,recurrente,Salma
EdoMex_Tepeyac,Caimán,20,2023-03-14,01:01:21,4,1208,15,tarjeta_credito,nuevo,Leonel
CDMX_Polanco,084 Clásico,20,2023-02-18,08:05:55,1,956,15,efectivo,recurrente,Rosa
CDMX_Satelite,084,28,2023-10-27,13:57:52,3,1380,10,efectivo,recurrente,Ana María
CDMX_Condesa,RL15,23,2022-06-23,23:30:28,1,1227,15,tarjeta_debito,nuevo,Susana
CDMX_Madero,084 Clásico,25,2022-11-11,05:27:46,1,703,10,mercado_pago,recurrente,Josefina
CDMX_Rep_del_Salvador,SuperFaro,12,2025-12-18,05:52:59,2,2048,5,efectivo,nuevo,Sessa
CDMX_Metrobus_Chilpancingo,084 Campeón,29,2024-02-03,09:17:09,1,1362,0,efectivo,recurrente,Gabriel
CDMX_Centro,Flip,21,2024-05-06,03:32:28,2,1170,0,tarjeta_debito,nuevo,Marisol
CDMX_Condesa,084 Campeón,28,2025-06-08,05:45:52,1,1376,0,efectivo,nuevo,Nancy
CDMX_Mixcoac,084 Diamante,29,2026-03-15,16:39:16,1,1867,15,efectivo,recurrente,Virginia
Nuevo_Leon_Monterrey,Urbano,19,2024-11-24,20:11:51,2,897,0,tarjeta_credito,recurrente,Yuridia
CDMX_La_Villa,SuperFaro,22,2025-11-21,13:27:56,4,2053,0,tarjeta_debito,vip,Salvador
CDMX_Madero,Perestroika,25,2024-12-10,02:11:50,1,1116,0,efectivo,nuevo,Alberto
CDMX_20_de_Noviembre,084 Campeón,27,2025-10-17,20:21:35,3,916,20,tarjeta_debito,recurrente,Fidel
CDMX_Universidad,Panam Alfa,27,2021-07-25,07:12:52,1,1738,0,efectivo,nuevo,Carla
Puebla_Centro,084,28,2022-08-02,07:07:56,3,1333,0,efectivo,recurrente,Carlos
CDMX_Condesa,084,19,2021-10-30,15:32:42,3,751,0,transferencia,nuevo,Leonel
CDMX_Tacubaya,Vaivén,23,2023-08-15,06:07:45,7,765,0,efectivo,recurrente,Javier
CDMX_Rep_del_Salvador,Vital,15,2023-10-15,06:23:28,2,907,10,efectivo,recurrente,Pascual
EdoMex_Texcoco,RL15,27,2022-08-05,17:16:44,7,1400,30,tarjeta_debito,nuevo,Cornelio
EdoMex_Nezahualcoyotl,Urbano,23,2023-11-10,18:03:45,1,1307,0,efectivo,nuevo,Lucas
CDMX_Metrobus_Durango,Panam Alfa,26,2025-12-14,03:30:09,4,1672,5,tarjeta_debito,nuevo,Antonio
CDMX_Insurgentes,084 Campeón,13,2024-05-26,04:05:16,4,1347,30,efectivo,nuevo,Esther
CDMX_Zona_Rosa,SuperFaro,17,2022-03-22,04:15:00,3,1507,0,mercado_pago,recurrente,Raquel
CDMX_La_Villa,Barracuda,29,2026-02-16,11:58:03,3,1187,0,efectivo,recurrente,Mateo
EdoMex_Sendero_Ixtapaluca,Perestroika,25,2026-02-14,14:09:09,3,1278,30,tarjeta_credito,recurrente,Catalina
CDMX_Plaza_Ermita,SuperFaro,25,2023-05-15,23:11:22,3,1590,0,efectivo,nuevo,Karina
CDMX_Regina,Vital,21,2023-10-18,10:40:46,2,1242,0,tarjeta_debito,recurrente,Violeta
CDMX_Tacubaya,Vital,22,2021-09-30,17:51:38,2,1341,0,efectivo,nuevo,Carla
CDMX_Satelite,Panam Alfa,23,2024-08-23,20:57:22,4,1985,15,efectivo,recurrente,Delia
Hidalgo_Pachuca,084 Campeón,17,2024-01-04,03:57:25,1,1072,0,efectivo,nuevo,María José
EdoMex_Zumpango,Perestroika,19,2021-10-21,22:34:09,5,1153,20,efectivo,recurrente,Alberto
CDMX_La_Villa,SuperFaro,25,2023-06-27,16:08:24,1,1572,0,tarjeta_credito,recurrente,Lorenzo
CDMX_Regina,Flip,26,2025-02-12,08:01:20,3,1393,5,efectivo,nuevo,Mauricio
CDMX_Condesa,Vital,14,2024-06-23,07:33:07,1,1122,0,efectivo,nuevo,Nayeli
CDMX_San_Cosme,SuperFaro,27,2025-12-31,01:21:56,1,1555,10,efectivo,vip,Olivia
EdoMex_Chalco,Perestroika,17,2023-01-08,04:35:00,3,1482,0,tarjeta_debito,nuevo,Julio
CDMX_Insurgentes,Gran Prix,25,2023-11-07,18:16:03,6,907,5,efectivo,recurrente,Estela
EdoMex_Patio_Valle_De_Chalco,084 Campeón,19,2022-11-10,00:37:13,1,813,15,tarjeta_debito,nuevo,Eduardo
CDMX_Polanco,Flip,17,2022-12-09,16:46:15,1,1002,30,efectivo,recurrente,Jorge Luis
EdoMex_Zumpango,Vaivén,26,2025-09-20,05:59:07,2,1266,0,efectivo,recurrente,Gerardo
EdoMex_Sendero_Toluca,SuperFaro,24,2024-07-22,16:43:32,4,1721,30,tarjeta_debito,recurrente,Aurelio
Morelos_Cuernavaca,084,27,2024-12-29,02:38:43,7,952,0,efectivo,recurrente,Rodrigo
CDMX_Del_Valle,Panam Alfa,27,2026-01-31,01:47:18,2,1505,10,mercado_pago,nuevo,Raúl
CDMX_San_Jacinto,SuperFaro,27,2022-06-15,21:15:01,2,2016,0,efectivo,nuevo,Javier
CDMX_Rep_del_Salvador,084 Diamante,24,2026-04-26,03:56:36,6,1746,0,tarjeta_debito,nuevo,Pedro
Puebla_Centro,Caimán,24,2021-05-25,07:43:07,1,1235,5,efectivo,recurrente,Alma
CDMX_Tacubaya,084 Clásico,17,2025-04-25,14:58:17,3,1385,0,efectivo,recurrente,Jacinto
EdoMex_Zumpango,084,24,2021-09-08,20:58:24,3,1174,0,transferencia,nuevo,Iván
